filename,file_type,category,relative_path,Playlist1,Playlist2,Playlist3,Documentaries,Series1,Series2
2001.A.Space.Odyssey.1968.1080p.BluRay.x264-[YTS.AM].mp4,mp4,Movies,Movies/2001.A.Space.Odyssey.1968.1080p.BluRay.x264-[YTS.AM].mp4,1,,,,,
A.Clockwork.Orange.1971.1080p.BrRip.x264.YIFY.mp4,mp4,Movies,Movies/A.Clockwork.Orange.1971.1080p.BrRip.x264.YIFY.mp4,,,,,,
After Hours 1985 Criterion 1080p BluRay HEVC x265 BONE.mkv,mkv,Movies,Movies/After Hours 1985 Criterion 1080p BluRay HEVC x265 BONE.mkv,,1,,,,
Amadeus 1984 Director Cut 1080p BluRay x264 AAC - Ozlem.mp4,mp4,Movies,Movies/Amadeus 1984 Director Cut 1080p BluRay x264 AAC - Ozlem.mp4,,2,,,,
American.Psycho.2000.Remastered.1080p.BluRay.X264.AC3.Will1869.mp4,mp4,Movies,Movies/American.Psycho.2000.Remastered.1080p.BluRay.X264.AC3.Will1869.mp4,,,,,,
Apocalypse.Now.1979.Redux.REMASTERED.1080p.BluRay.x265-RBG.mp4,mp4,Movies,Movies/Apocalypse.Now.1979.Redux.REMASTERED.1080p.BluRay.x265-RBG.mp4,,,,,,
Arthur.1981.Dudley.Moore.avi,avi,Movies,Movies/Arthur.1981.Dudley.Moore.avi,,3,,,,
Barry Lyndon (1975) 1080p BluRay 5.1Ch x265 HEVC SUJAIDR.mkv,mkv,Movies,Movies/Barry Lyndon (1975) 1080p BluRay 5.1Ch x265 HEVC SUJAIDR.mkv,,,,,,
Blue.Velvet.1986.1080p.BluRay.x264.AAC-ETRG.mp4,mp4,Movies,Movies/Blue.Velvet.1986.1080p.BluRay.x264.AAC-ETRG.mp4,,,,,,
Burn.After.Reading.2008.1080p.BrRip.x264.YIFY.mp4,mp4,Movies,Movies/Burn.After.Reading.2008.1080p.BrRip.x264.YIFY.mp4,,,,,,
Casino 1995 Remastered 1080p BluRay HEVC x265 5.1 BONE.mkv,mkv,Movies,Movies/Casino 1995 Remastered 1080p BluRay HEVC x265 5.1 BONE.mkv,,,,,,
Dr Strangelove - Stanley Kubrick 45th Anniversary Edition 1964 Eng Subs 1080p [H264-mp4].mp4,mp4,Movies,Movies/Dr Strangelove - Stanley Kubrick 45th Anniversary Edition 1964 Eng Subs 1080p [H264-mp4].mp4,,,,,,
Eyes.Wide.Shut.1999.1080p.BluRay.x264.YIFY.mp4,mp4,Movies,Movies/Eyes.Wide.Shut.1999.1080p.BluRay.x264.YIFY.mp4,,,,,,
Fargo.1996.1080p.BluRay.x264.YIFY.mp4,mp4,Movies,Movies/Fargo.1996.1080p.BluRay.x264.YIFY.mp4,,,,,,
Fight.Club.10th.Anniversary.Edition.1999.1080p.BrRip.x264.YIFY.mp4,mp4,Movies,Movies/Fight.Club.10th.Anniversary.Edition.1999.1080p.BrRip.x264.YIFY.mp4,,,,,,
Full.Metal.Jacket.1987.1080p.BluRay.x264-[YTS.AM].mp4,mp4,Movies,Movies/Full.Metal.Jacket.1987.1080p.BluRay.x264-[YTS.AM].mp4,,,,,,
Gangs.Of.New.York.2002.REMASTERED.2002.1080p.BrRip.x264.BOKUTOX.YIFY.mp4,mp4,Movies,Movies/Gangs.Of.New.York.2002.REMASTERED.2002.1080p.BrRip.x264.BOKUTOX.YIFY.mp4,2,,,,,
Gladiator.EXTENDED.2000.1080.BrRip.264.YIFY.mp4,mp4,Movies,Movies/Gladiator.EXTENDED.2000.1080.BrRip.264.YIFY.mp4,,,1,,,
Gladiator.II.2024.1080p.WEBRip.x264.AAC5.1-[YTS.MX].mp4,mp4,Movies,Movies/Gladiator.II.2024.1080p.WEBRip.x264.AAC5.1-[YTS.MX].mp4,,,,,,
Glengarry.Glen.Ross.1992.REMASTERED.1080p.BluRay.H264.AAC-LAMA.mp4,mp4,Movies,Movies/Glengarry.Glen.Ross.1992.REMASTERED.1080p.BluRay.H264.AAC-LAMA.mp4,,4,,,,
Goodfellas 1990 Remastered 1080p BluRay HEVC x265 5.1 BONE.mkv,mkv,Movies,Movies/Goodfellas 1990 Remastered 1080p BluRay HEVC x265 5.1 BONE.mkv,,,,,,
Heat.1995.1080p.BRrip.x264.YIFY.mp4,mp4,Movies,Movies/Heat.1995.1080p.BRrip.x264.YIFY.mp4,,,,,,
Intolerable.Cruelty.2003.1080p.BluRay.DDP5.1.x265.10bit-GalaxyRG265.mkv,mkv,Movies,Movies/Intolerable.Cruelty.2003.1080p.BluRay.DDP5.1.x265.10bit-GalaxyRG265.mkv,,5,,,,
Jurassic.Park.1993.1080p.BRrip.x264.YIFY.mp4,mp4,Movies,Movies/Jurassic.Park.1993.1080p.BRrip.x264.YIFY.mp4,,,,,,
Killers.Of.The.Flower.Moon.2023.1080p.WEBRip.1600MB.DD5.1.x264-GalaxyRG.mkv,mkv,Movies,Movies/Killers.Of.The.Flower.Moon.2023.1080p.WEBRip.1600MB.DD5.1.x264-GalaxyRG.mkv,,,,,,
L.A..Confidential.1997.1080p.BluRay.x264-[YTS.AM].mp4,mp4,Movies,Movies/L.A..Confidential.1997.1080p.BluRay.x264-[YTS.AM].mp4,,,,,,
Lolita.1962.1080p.BluRay.H264.AAC-RARBG.mp4,mp4,Movies,Movies/Lolita.1962.1080p.BluRay.H264.AAC-RARBG.mp4,,,,,,
Man on Fire 1987 1080p BluRay HEVC x265 BONE.mkv,mkv,Movies,Movies/Man on Fire 1987 1080p BluRay HEVC x265 BONE.mkv,,,,,,
Millers.Crossing.1990.1080p.BrRip.x264.YIFY.mp4,mp4,Movies,Movies/Millers.Crossing.1990.1080p.BrRip.x264.YIFY.mp4,3,6,,,,
Mulholland.Dr..2001.1080p.BluRay.x264.YIFY.mp4,mp4,Movies,Movies/Mulholland.Dr..2001.1080p.BluRay.x264.YIFY.mp4,,,,,,
Network.1976.1080p.BluRay.x264-CiNEFiLE.mkv,mkv,Movies,Movies/Network.1976.1080p.BluRay.x264-CiNEFiLE.mkv,,,,,,
No.Country.For.Old.Men.2007.1080p.BrRip.x264.YIFY.mp4,mp4,Movies,Movies/No.Country.For.Old.Men.2007.1080p.BrRip.x264.YIFY.mp4,,,,,,
O.Brother.Where.Art.Thou.2000.1080p.BrRip.x264.YIFY.mp4,mp4,Movies,Movies/O.Brother.Where.Art.Thou.2000.1080p.BrRip.x264.YIFY.mp4,,,,,,
On.the.Waterfront.1954.1080p.BluRay.x265-RARBG.mp4,mp4,Movies,Movies/On.the.Waterfront.1954.1080p.BluRay.x265-RARBG.mp4,,,,,,
Pulp.Fiction.1994.1080p.BrRip.x264.YIFY.mp4,mp4,Movies,Movies/Pulp.Fiction.1994.1080p.BrRip.x264.YIFY.mp4,,,,,,
Raging.Bull.1980.1080p.BluRay.x264.YIFY.mp4,mp4,Movies,Movies/Raging.Bull.1980.1080p.BluRay.x264.YIFY.mp4,,,2,,,
Raising.Arizona.1987.1080p.BluRay.H264.AAC-RARBG.mp4,mp4,Movies,Movies/Raising.Arizona.1987.1080p.BluRay.H264.AAC-RARBG.mp4,,,3,,,
Ray.2004.1080p.BluRay.x264.YIFY.mp4,mp4,Movies,Movies/Ray.2004.1080p.BluRay.x264.YIFY.mp4,,7,,,,
Scarface.1983.1080p.BRrip.x264.YIFY.mp4,mp4,Movies,Movies/Scarface.1983.1080p.BRrip.x264.YIFY.mp4,,,,,,
Shutter.Island.2010.1080p.BluRay.x264.YIFY.mp4,mp4,Movies,Movies/Shutter.Island.2010.1080p.BluRay.x264.YIFY.mp4,4,,,,,
Snatch 2000 1080p BluRay HEVC H265 5.1 BONE.mp4,mp4,Movies,Movies/Snatch 2000 1080p BluRay HEVC H265 5.1 BONE.mp4,,,,,,
Spartacus.1960.REMASTERED.1080p.BluRay.x265-XS.mp4,mp4,Movies,Movies/Spartacus.1960.REMASTERED.1080p.BluRay.x265-XS.mp4,,,,,,
Stand.by.Me.1986.1080p.BluRay.x264.YIFY.mp4,mp4,Movies,Movies/Stand.by.Me.1986.1080p.BluRay.x264.YIFY.mp4,,,,,,
Taxi.Driver.1976.REMASTERED.1080p.BluRay.6CH.2.5GB.MkvCage.mkv,mkv,Movies,Movies/Taxi.Driver.1976.REMASTERED.1080p.BluRay.6CH.2.5GB.MkvCage.mkv,,,4,,,
The Abyss 1989 Special Cut 1080p BluRay HEVC x265 5.1 BONE.mkv,mkv,Movies,Movies/The Abyss 1989 Special Cut 1080p BluRay HEVC x265 5.1 BONE.mkv,6,,,,,
The Shining 1980 REMASTERED 1080p BluRay HEVC x265 5.1 BONE.mkv,mkv,Movies,Movies/The Shining 1980 REMASTERED 1080p BluRay HEVC x265 5.1 BONE.mkv,,,,,,
The.Aviator.2004.1080p.BrRip.x264.YIFY.mp4,mp4,Movies,Movies/The.Aviator.2004.1080p.BrRip.x264.YIFY.mp4,,,5,,,
The.Big.Lebowski.1998.REMASTERED.1080p.BluRay.H264.AAC-RARBG.mp4,mp4,Movies,Movies/The.Big.Lebowski.1998.REMASTERED.1080p.BluRay.H264.AAC-RARBG.mp4,,,,,,
The.Departed.2006.BluRay.1080p.x264.YIFY.mp4,mp4,Movies,Movies/The.Departed.2006.BluRay.1080p.x264.YIFY.mp4,,,,,,
The.Good.the.Bad.and.the.Ugly.1966.1080p.BrRip.x264.YIFY.mp4,mp4,Movies,Movies/The.Good.the.Bad.and.the.Ugly.1966.1080p.BrRip.x264.YIFY.mp4,,,,,,
The.Imitation.Game.2014.1080p.BluRay.x264.YIFY.mp4,mp4,Movies,Movies/The.Imitation.Game.2014.1080p.BluRay.x264.YIFY.mp4,7,,,,,
The.Irishman.2019.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,mp4,Movies,Movies/The.Irishman.2019.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,,,,,
The.King.of.Comedy.1982.1080p.BluRay.x264.YIFY.mp4,mp4,Movies,Movies/The.King.of.Comedy.1982.1080p.BluRay.x264.YIFY.mp4,,,6,,,
The.Last.Temptation.Of.Christ.1988.720p.BluRay.x264-[YTS.LT].mp4,mp4,Movies,Movies/The.Last.Temptation.Of.Christ.1988.720p.BluRay.x264-[YTS.LT].mp4,,,,,,
The.Piano.1993.720p.BluRay.H264.AAC-RARBG.mp4,mp4,Movies,Movies/The.Piano.1993.720p.BluRay.H264.AAC-RARBG.mp4,,,,,,
The.Shawshank.Redemption.1994.1080p.x264.YIFY.mp4,mp4,Movies,Movies/The.Shawshank.Redemption.1994.1080p.x264.YIFY.mp4,,,,,,
The.Untouchables.1987.1080p.BrRip.x264.BOKUTOX.YIFY.mp4,mp4,Movies,Movies/The.Untouchables.1987.1080p.BrRip.x264.BOKUTOX.YIFY.mp4,,,7,,,
The.Wolf.of.Wall.Street.2013.1080p.BluRay.x264.YIFY.mp4,mp4,Movies,Movies/The.Wolf.of.Wall.Street.2013.1080p.BluRay.x264.YIFY.mp4,,,,,,
There.Will.Be.Blood.2007.1080p.BluRay.6CH.2.8GB.MkvCage.mkv,mkv,Movies,Movies/There.Will.Be.Blood.2007.1080p.BluRay.6CH.2.8GB.MkvCage.mkv,,,,,,
True Lies 1994 REMASTERED 1080p BluRay HEVC x265 5.1 BONE.mkv,mkv,Movies,Movies/True Lies 1994 REMASTERED 1080p BluRay HEVC x265 5.1 BONE.mkv,,,,,,
True.Grit.1969.1080p.BluRay.x264.VPPV.mp4,mp4,Movies,Movies/True.Grit.1969.1080p.BluRay.x264.VPPV.mp4,,,,,,
